Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Number
Adults who attend church or religious services less than four times per year,By State,North Dakota,North Dakota,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,63.5,57.1,69.5,57.1 - 69.5,54.5-63.5,,1
Adults who attend church or religious services less than four times per year,By State,Ohio,Ohio,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,71.6,67.7,75.3,67.7 - 75.3,71.2-74.8,,3
Adults who attend church or religious services less than four times per year,By State,Oklahoma,Oklahoma,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,66.8,63.5,70,63.5 - 70.0,63.6-71.1,,2
Adults who attend church or religious services less than four times per year,By State,Oregon,Oregon,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80.5,77.6,83.1,77.6 - 83.1,74.9-87.6,,4
Adults who attend church or religious services less than four times per year,By State,Pennsylvania,Pennsylvania,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,74.1,69.8,78.1,69.8 - 78.1,71.2-74.8,,3
Adults who attend church or religious services less than four times per year,By State,Rhode Island,Rhode Island,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.1,72.6,82.9,72.6 - 82.9,74.9-87.6,,4
Adults who attend church or religious services less than four times per year,By State,South Carolina,South Carolina,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,57.1,53,61.1,53.0 - 61.1,54.5-63.5,,1
Adults who attend church or religious services less than four times per year,By State,South Dakota,South Dakota,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,61.9,54.6,68.7,54.6 - 68.7,54.5-63.5,,1
Adults who attend church or religious services less than four times per year,By State,Tennessee,Tennessee,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,62.6,58.8,66.3,58.8 - 66.3,54.5-63.5,,1
Adults who attend church or religious services less than four times per year,By State,Texas,Texas,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,64.5,61,67.9,61.0 - 67.9,63.6-71.1,,2
Adults who attend church or religious services less than four times per year,By State,Utah,Utah,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,59.7,55.8,63.5,55.8 - 63.5,54.5-63.5,,1
Adults who attend church or religious services less than four times per year,By State,Vermont,Vermont,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,87.6,84,90.6,84.0 - 90.6,74.9-87.6,,4
Adults who attend church or religious services less than four times per year,By State,Virginia,Virginia,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,63.4,59.1,67.6,59.1 - 67.6,54.5-63.5,,1
Adults who attend church or religious services less than four times per year,By State,Washington,Washington,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.1,75.6,80.4,75.6 - 80.4,74.9-87.6,,4
Adults who attend church or religious services less than four times per year,By State,West Virginia,West Virginia,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,71.4,65.9,76.4,65.9 - 76.4,71.2-74.8,,3
Adults who attend church or religious services less than four times per year,By State,Wisconsin,Wisconsin,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,75.5,71.5,79.1,71.5 - 79.1,74.9-87.6,,4
Adults who attend church or religious services less than four times per year,By State,Wyoming,Wyoming,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,70.6,65.8,75.2,65.8 - 75.2,63.6-71.1,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",National Estimate,United States,United States,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78,77.4,78.5,77.4 - 78.5,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Age,United States,18 - 29 years,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,83.3,81.1,85.4,81.1 - 85.4,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Age,United States,30 - 39 years,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.5,76.9,80.1,76.9 - 80.1,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Age,United States,40 - 49 years,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.6,75.1,78.1,75.1 - 78.1,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Age,United States,50 - 59 years,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76,74.7,77.3,74.7 - 77.3,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Age,United States,60 - 69 years,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.1,76.7,79.5,76.7 - 79.5,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Age,United States,70 - 79 years,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,75.3,73.5,76.9,73.5 - 76.9,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Age,United States,80 years and above,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,72.9,68.7,76.8,68.7 - 76.8,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Sex,United States,Male,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.5,77.6,79.5,77.6 - 79.5,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Sex,United States,Female,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.4,76.6,78.2,76.6 - 78.2,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Gender identity,United States,Cis-gender male,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.3,77.3,79.2,77.3 - 79.2,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Gender identity,United States,Cis-gender female,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.4,76.7,78.2,76.7 - 78.2,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Gender identity,United States,Transgender,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,74.6,60.4,85.8,60.4 - 85.8,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Sexual orientation,United States,Gay or lesbian,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80.1,75.9,83.8,75.9 - 83.8,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Sexual orientation,United States,Straight,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.3,76.7,77.9,76.7 - 77.9,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Sexual orientation,United States,Bisexual,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,83.5,80.6,86.1,80.6 - 86.1,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Race/Hispanic ethnicity,United States,Hispanic or Latino,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,82.7,80.7,84.6,80.7 - 84.6,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.8,77.1,78.5,77.1 - 78.5,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,73.1,70.8,75.3,70.8 - 75.3,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,74.9,71.6,78,71.6 - 78.0,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,75.9,72.8,78.9,72.8 - 78.9,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Education,United States,Less than a high school diploma,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,86.6,83.4,89.3,83.4 - 89.3,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Education,United States,High school diploma or GED,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,85.1,83.9,86.2,83.9 - 86.2,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Education,United States,Some college/Associate's degree,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.6,77.5,79.7,77.5 - 79.7,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Education,United States,Bachelor's degree or higher,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,67.4,66.5,68.4,66.5 - 68.4,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Disability status,United States,With disability,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,85,83.2,86.6,83.2 - 86.6,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By Disability status,United States,Without disability,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.8,76.2,77.4,76.2 - 77.4,,,
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Alabama,Alabama,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80.3,77,83.4,77.0 - 83.4,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Alaska,Alaska,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,71.6,64.7,77.7,64.7 - 77.7,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Arizona,Arizona,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.2,74.4,81.6,74.4 - 81.6,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Arkansas,Arkansas,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.2,73,82.9,73.0 - 82.9,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,California,California,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80.8,78.6,82.9,78.6 - 82.9,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Colorado,Colorado,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,74.5,71.6,77.3,71.6 - 77.3,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Connecticut,Connecticut,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.1,70.6,81.1,70.6 - 81.1,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Delaware,Delaware,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.5,70.7,81.6,70.7 - 81.6,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,District of Columbia,District of Columbia,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,65.5,58.6,71.9,58.6 - 71.9,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Florida,Florida,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.6,74.5,80.5,74.5 - 80.5,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Georgia,Georgia,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,74.7,70,79.1,70.0 - 79.1,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Hawaii,Hawaii,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,79.5,74.3,84,74.3 - 84.0,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Idaho,Idaho,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.6,73.8,81.1,73.8 - 81.1,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Illinois,Illinois,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,74.9,71.1,78.5,71.1 - 78.5,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Indiana,Indiana,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.4,73.6,80.9,73.6 - 80.9,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Iowa,Iowa,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,79.5,75.3,83.3,75.3 - 83.3,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Kansas,Kansas,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.9,73.1,80.3,73.1 - 80.3,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Kentucky,Kentucky,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.1,74.8,81.1,74.8 - 81.1,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Louisiana,Louisiana,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,79.1,74.8,83,74.8 - 83.0,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Maine,Maine,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.7,74,83,74.0 - 83.0,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Maryland,Maryland,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.6,75.4,81.6,75.4 - 81.6,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Massachusetts,Massachusetts,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77,73.5,80.2,73.5 - 80.2,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Michigan,Michigan,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80.4,77.8,82.9,77.8 - 82.9,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Minnesota,Minnesota,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,72.7,68.5,76.6,68.5 - 76.6,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Mississippi,Mississippi,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.8,72.7,82.4,72.7 - 82.4,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Missouri,Missouri,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,71.8,67.1,76.1,67.1 - 76.1,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Montana,Montana,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,73.3,66.6,79.3,66.6 - 79.3,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Nebraska,Nebraska,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,73.7,69.2,77.9,69.2 - 77.9,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Nevada,Nevada,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,79.3,73.4,84.4,73.4 - 84.4,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,New Hampshire,New Hampshire,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80.4,76,84.4,76.0 - 84.4,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,New Jersey,New Jersey,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.6,73.5,81.3,73.5 - 81.3,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,New Mexico,New Mexico,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80,75.1,84.4,75.1 - 84.4,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,New York,New York,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,79.8,76.1,83.1,76.1 - 83.1,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,North Carolina,North Carolina,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.2,74.7,81.4,74.7 - 81.4,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,North Dakota,North Dakota,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.4,69.8,82.1,69.8 - 82.1,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Ohio,Ohio,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.7,74.2,81,74.2 - 81.0,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Oklahoma,Oklahoma,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.8,75.4,81.9,75.4 - 81.9,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Oregon,Oregon,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.2,75.3,80.9,75.3 - 80.9,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Pennsylvania,Pennsylvania,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.9,73.4,80.1,73.4 - 80.1,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Rhode Island,Rhode Island,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,74.7,70,79.1,70.0 - 79.1,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,South Carolina,South Carolina,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.4,73.2,81.2,73.2 - 81.2,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,South Dakota,South Dakota,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,72.6,66.9,77.9,66.9 - 77.9,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Tennessee,Tennessee,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,80.7,77,84.1,77.0 - 84.1,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Texas,Texas,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,79.9,77.5,82.1,77.5 - 82.1,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Utah,Utah,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.1,73.2,80.7,73.2 - 80.7,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Vermont,Vermont,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,78.3,73.5,82.5,73.5 - 82.5,77.7-79.1,,3
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Virginia,Virginia,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,75.4,71.6,78.9,71.6 - 78.9,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Washington,Washington,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,76.1,73.5,78.5,73.5 - 78.5,75.5-77.6,,2
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,West Virginia,West Virginia,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,81,76.8,84.8,76.8 - 84.8,79.2-81.0,,4
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Wisconsin,Wisconsin,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,75.4,71.5,79,71.5 - 79.0,65.5-75.4,,1
"Adults who attend meetings of clubs or organizations less than three times per year, or never attend",By State,Wyoming,Wyoming,4.2,71,"Jul 23 - Aug 19, 2024",07/23/2024 12:00:00 AM,08/19/2024 12:00:00 AM,77.3,72.6,81.5,72.6 - 81.5,75.5-77.6,,2
"Adults who sometimes, rarely, or never get the social and emotional support they need",National Estimate,United States,United States,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,41,40.3,41.8,40.3 - 41.8,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,18 - 29 years,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,50.8,47.6,53.9,47.6 - 53.9,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,30 - 39 years,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,45.5,43.4,47.7,43.4 - 47.7,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,40 - 49 years,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,47.4,45.3,49.5,45.3 - 49.5,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,50 - 59 years,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,43.6,41.7,45.6,41.7 - 45.6,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,60 - 69 years,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,33.3,31.9,34.8,31.9 - 34.8,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,70 - 79 years,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,25,23.6,26.5,23.6 - 26.5,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,80 years and above,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,22.8,18.2,28,18.2 - 28.0,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Sex,United States,Male,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,43.3,42.1,44.6,42.1 - 44.6,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Sex,United States,Female,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,38.9,37.8,39.9,37.8 - 39.9,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Gender identity,United States,Cis-gender male,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,42.8,41.6,44.1,41.6 - 44.1,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Gender identity,United States,Cis-gender female,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,38.5,37.4,39.6,37.4 - 39.6,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Gender identity,United States,Transgender,4.2,72,"Aug 20 - Sep 16, 2024",08/20/2024 12:00:00 AM,09/16/2024 12:00:00 AM,56.2,42.5,69.2,42.5 - 69.2,,,
